job_title,cluster
Chief Executives,4
Chief Sustainability Officers,2
General and Operations Managers,4
Advertising and Promotions Managers,4
Marketing Managers,4
Sales Managers,4
Administrative Services Managers,4
Facilities Managers,4
Computer and Information Systems Managers,4
Financial Managers,4
Treasurers and Controllers,5
Industrial Production Managers,4
Quality Control Systems Managers,4
Geothermal Production Managers,2
Biofuels Production Managers,4
Biomass Power Plant Managers,2
Hydroelectric Production Managers,2
Purchasing Managers,4
"Transportation, Storage, and Distribution Managers",4
Supply Chain Managers,4
Compensation and Benefits Managers,4
Human Resources Managers,4
Training and Development Managers,4
"Farmers, Ranchers, and Other Agricultural Managers",4
Construction Managers,4
"Education and Childcare Administrators, Preschool and Daycare",6
"Education Administrators, Kindergarten through Secondary",6
"Education Administrators, Postsecondary",6
Architectural and Engineering Managers,4
Biofuels/Biodiesel Technology and Product Development Managers,4
Food Service Managers,4
Gambling Managers,4
Lodging Managers,4
Medical and Health Services Managers,4
Natural Sciences Managers,4
Water Resource Specialists,2
Postmasters and Mail Superintendents,4
Social and Community Service Managers,4
Emergency Management Directors,4
Fitness and Wellness Coordinators,1
Spa Managers,4
Regulatory Affairs Managers,4
Compliance Managers,4
Loss Prevention Managers,4
Wind Energy Operations Managers,2
Wind Energy Development Managers,2
Brownfield Redevelopment Specialists and Site Managers,5
"Wholesale and Retail Buyers, Except Farm Products",5
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5
Environmental Compliance Inspectors,2
Government Property Inspectors and Investigators,2
Regulatory Affairs Specialists,5
Customs Brokers,5
Labor Relations Specialists,1
Logisticians,3
Logistics Engineers,0
Management Analysts,4
"Meeting, Convention, and Event Planners",5
Fundraisers,5
Training and Development Specialists,5
Business Continuity Planners,5
Personal Financial Advisors,5
Financial Examiners,5
Computer Systems Analysts,5
Health Informatics Specialists,3
Computer and Information Research Scientists,5
Computer Network Architects,5
Telecommunications Engineering Specialists,0
Database Architects,5
Network and Computer Systems Administrators,5
Video Game Designers,5
Computer Systems Engineers/Architects,0
Information Technology Project Managers,4
Biostatisticians,3
"Architects, Except Landscape and Naval",5
Landscape Architects,5
Aerospace Engineers,0
Agricultural Engineers,0
Bioengineers and Biomedical Engineers,0
Chemical Engineers,0
Civil Engineers,0
Transportation Engineers,0
Water/Wastewater Engineers,0
Electrical Engineers,0
"Electronics Engineers, Except Computer",0
Environmental Engineers,0
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0
Fire-Prevention and Protection Engineers,0
Human Factors Engineers and Ergonomists,0
Validation Engineers,0
Manufacturing Engineers,0
Marine Engineers and Naval Architects,0
Materials Engineers,0
Mechanical Engineers,0
Fuel Cell Engineers,0
Automotive Engineers,0
"Mining and Geological Engineers, Including Mining Safety Engineers",0
Nuclear Engineers,0
Petroleum Engineers,0
"Energy Engineers, Except Wind and Solar",0
Mechatronics Engineers,0
Microsystems Engineers,0
Photonics Engineers,0
Robotics Engineers,0
Nanosystems Engineers,0
Aerospace Engineering and Operations Technologists and Technicians,0
Electro-Mechanical and Mechatronics Technologists and Technicians,0
Robotics Technicians,0
Environmental Engineering Technologists and Technicians,0
Mechanical Engineering Technologists and Technicians,0
Non-Destructive Testing Specialists,0
Animal Scientists,3
Food Scientists and Technologists,3
Soil and Plant Scientists,2
Biochemists and Biophysicists,3
Microbiologists,3
Zoologists and Wildlife Biologists,3
Molecular and Cellular Biologists,3
Geneticists,3
Biologists,3
Conservation Scientists,2
Foresters,5
Epidemiologists,3
"Medical Scientists, Except Epidemiologists",3
Astronomers,5
Physicists,0
Chemists,3
Materials Scientists,0
"Environmental Scientists and Specialists, Including Health",3
Climate Change Policy Analysts,2
Environmental Restoration Planners,2
Industrial Ecologists,2
Economists,5
Environmental Economists,2
Survey Researchers,5
Industrial-Organizational Psychologists,4
Clinical and Counseling Psychologists,1
School Psychologists,6
Neuropsychologists,3
Urban and Regional Planners,5
Geographers,5
Transportation Planners,5
Chemical Technicians,0
"Environmental Science and Protection Technicians, Including Health",0
Nuclear Monitoring Technicians,0
Occupational Health and Safety Specialists,1
Occupational Health and Safety Technicians,1
Substance Abuse and Behavioral Disorder Counselors,1
"Educational, Guidance, and Career Counselors and Advisors",6
Marriage and Family Therapists,1
Mental Health Counselors,1
Rehabilitation Counselors,1
Healthcare Social Workers,1
Mental Health and Substance Abuse Social Workers,1
Health Education Specialists,3
Community Health Workers,1
Clergy,3
"Directors, Religious Activities and Education",5
Lawyers,3
"Computer Science Teachers, Postsecondary",6
"Architecture Teachers, Postsecondary",6
"Biological Science Teachers, Postsecondary",6
"Forestry and Conservation Science Teachers, Postsecondary",6
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",6
"Chemistry Teachers, Postsecondary",6
"Environmental Science Teachers, Postsecondary",6
"Physics Teachers, Postsecondary",6
"Anthropology and Archeology Teachers, Postsecondary",6
"Psychology Teachers, Postsecondary",6
"Health Specialties Teachers, Postsecondary",6
"Nursing Instructors and Teachers, Postsecondary",6
"Communications Teachers, Postsecondary",6
"Recreation and Fitness Studies Teachers, Postsecondary",6
"Kindergarten Teachers, Except Special Education",6
"Elementary School Teachers, Except Special Education",6
"Middle School Teachers, Except Special and Career/Technical Education",6
"Secondary School Teachers, Except Special and Career/Technical Education",6
Adapted Physical Education Specialists,6
Curators,5
Farm and Home Management Educators,6
Instructional Coordinators,6
Art Directors,5
Fashion Designers,5
Interior Designers,5
Set and Exhibit Designers,5
Producers and Directors,5
Media Programming Directors,5
Media Technical Directors/Managers,5
Coaches and Scouts,5
"Dentists, General",3
Orthodontists,3
Dietitians and Nutritionists,3
Optometrists,3
Pharmacists,3
Physician Assistants,3
Podiatrists,3
Occupational Therapists,1
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",1
Physical Therapists,1
Recreational Therapists,1
Exercise Physiologists,3
Art Therapists,1
Acute Care Nurses,3
Critical Care Nurses,3
Clinical Nurse Specialists,3
Nurse Anesthetists,3
Nurse Practitioners,3
Audiologists,3
Anesthesiologists,3
General Internal Medicine Physicians,3
Neurologists,3
"Physicians, Pathologists",3
Psychiatrists,3
Radiologists,3
Allergists and Immunologists,3
Hospitalists,3
Urologists,3
Physical Medicine and Rehabilitation Physicians,3
Preventive Medicine Physicians,3
Sports Medicine Physicians,3
"Ophthalmologists, Except Pediatric",3
Medical Dosimetrists,3
Orthotists and Prosthetists,3
Genetic Counselors,3
First-Line Supervisors of Correctional Officers,1
First-Line Supervisors of Police and Detectives,1
First-Line Supervisors of Firefighting and Prevention Workers,1
Chefs and Head Cooks,5
First-Line Supervisors of Food Preparation and Serving Workers,1
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1
First-Line Supervisors of Personal Service Workers,1
First-Line Supervisors of Retail Sales Workers,1
First-Line Supervisors of Non-Retail Sales Workers,1
First-Line Supervisors of Office and Administrative Support Workers,1
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1
Solar Energy Installation Managers,2
Electricians,0
Elevator and Escalator Installers and Repairers,0
"First-Line Supervisors of Mechanics, Installers, and Repairers",1
"Telecommunications Equipment Installers and Repairers, Except Line Installers",0
Aircraft Mechanics and Service Technicians,0
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2
Wind Turbine Service Technicians,2
Commercial Divers,2
Manufactured Building and Mobile Home Installers,2
First-Line Supervisors of Production and Operating Workers,1
Nuclear Power Reactor Operators,2
Computer Numerically Controlled Tool Programmers,0
"Airline Pilots, Copilots, and Flight Engineers",0
"Captains, Mates, and Pilots of Water Vessels",2
